Id,Id_Curso,NomeCurso,Cod_Sistec,Id_Eixo,Eixo,Id_LinhaProgramatica,LinhaProgramatica,Id_Modalidade,Modalidade,Id_Segmento,Segmento,Id_TipoCurso,TipoCurso,CHE,PSG,CursoLiveOpcao,ModeloPedagogico,NomeModeloPedagogico,ModeloReferencia,NomeModeloReferencia,ModalidadeEnsino,NomeModalidadeEnsino,EducacaoCorporativaOpcao,EducacaoCorporativaDR,AtendCorporativoOpcao,AtendCorporativoEmpresa,AtendCorporativoDR,Carga_Horaria_Estagio,Categoria,CodigoTitulo,Experimental,DataOcorrencia,Versao,MesAnoApuracao,Regional,Ativo
445,1567,Técnico em Informática,NULL,5,Informação e Comunicação,0,NULL,2,Educação Profissional Técnica de Nível Médio,14,Tecnologia da Informação,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",0,,-1,0,1567,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
449,1572,Técnico em Enfermagem,NULL,1,Ambiente e Saúde,0,NULL,2,Educação Profissional Técnica de Nível Médio,11,Saúde,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,1572,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
624,1611,Aprendizagem Profissional de Qualificação em Serviços de Vendas,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",2,Comércio,1,Aprendizagem Profissional de Qualificação,960,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1611,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
626,1613,Aprendizagem Profissional de Qualificação em Serviços de Supermercados,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",2,Comércio,1,Aprendizagem Profissional de Qualificação,960,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1613,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
855,1711,Assistente de Secretaria Escolar,NULL,2,Desenvolvimento Educacional e Social,0,NULL,1,"Formação Inicial e Continuada ",19,Educacional,2,Qualificação profissional,180,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1711,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
857,1714,Estoquista,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",2,Comércio,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1714,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
935,173.158,Liderança e Relacionamento,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,173,158,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
1443,1805,Técnico em Logística,NULL,3,Gestão e Negócios,0,NULL,2,Educação Profissional Técnica de Nível Médio,1,Gestão,8,Habilitação Profissional Técnica de Nível Médio,800,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,1805,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
1444,1806,Técnico em Administração,NULL,3,Gestão e Negócios,0,NULL,2,Educação Profissional Técnica de Nível Médio,1,Gestão,8,Habilitação Profissional Técnica de Nível Médio,1000,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,1806,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
1461,1833,Assistente Financeiro,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"    ",0,,-1,0,1833,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
1465,1837,Massagista,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",11,Saúde,2,Qualificação profissional,240,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1837,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
1467,1839,Atendente de Farmácia,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",11,Saúde,2,Qualificação profissional,240,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1839,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
1572,1915,Barbeiro,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,2,Qualificação profissional,172,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1915,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
1577,1921,Modelista,NULL,7,Produção Cultural e Design,0,NULL,1,"Formação Inicial e Continuada ",22,Moda,2,Qualificação profissional,210,1,0,1,NULL,0,NULL,1,NULL,0,"    ",0,,-1,0,1921,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
1599,1946,Técnico em Estética,NULL,1,Ambiente e Saúde,0,NULL,2,Educação Profissional Técnica de Nível Médio,11,Saúde,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,1946,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
2106,2091.19,Formação de Bartender: Preparo e Serviço de Coquetéis,NULL,4,"Turismo,Hospitalidade e Lazer",0,NULL,1,"Formação Inicial e Continuada ",68,Gastronomia,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,2091,19,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
2354,2107.4,Salgados Finos,NULL,4,"Turismo,Hospitalidade e Lazer",0,NULL,1,"Formação Inicial e Continuada ",68,Gastronomia,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,2107,4,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
2523,2239.18,Recepção e segurança em portarias,NULL,6,Infraestrutura,0,NULL,1,"Formação Inicial e Continuada ",69,"Asseio, Conservação e Zeladoria",3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,2239,18,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
2779,231.35,Técnicas de Confeitaria Básica,NULL,10,Produção Alimentícia,0,NULL,1,"Formação Inicial e Continuada ",29,Produção de alimentos,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,231,35,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
2872,2314.18,Preparo de Pizzas,NULL,10,Produção Alimentícia,0,NULL,1,"Formação Inicial e Continuada ",29,Produção de alimentos,3,Aperfeiçoamento,15,1,0,0,NULL,1,NULL,1,NULL,0,"    ",-1,,-1,0,2314,18,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3054,2352.1,Empreendedorismo Digital,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",2,Comércio,3,Aperfeiçoamento,60,1,0,0,NULL,1,NULL,1,NULL,0,"    ",-1,,-1,0,2352,1,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3194,244.17,Estratégias de Vendas Aplicadas ao Turismo Local,NULL,4,"Turismo,Hospitalidade e Lazer",0,NULL,1,"Formação Inicial e Continuada ",25,Turismo,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,244,17,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3203,244.25,Bem Receber o Turista,NULL,4,"Turismo,Hospitalidade e Lazer",0,NULL,1,"Formação Inicial e Continuada ",25,Turismo,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,244,25,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3228,2448,Recepcionista em Serviços de Saúde,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",11,Saúde,2,Qualificação profissional,240,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,2448,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3229,2449,Confeiteiro,NULL,10,Produção Alimentícia,0,NULL,1,"Formação Inicial e Continuada ",29,Produção de alimentos,2,Qualificação profissional,300,1,0,1,NULL,0,NULL,1,NULL,0,"    ",0,,-1,0,2449,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3234,2454,Cuidador de Idoso,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",11,Saúde,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,2454,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3235,2455,Técnico em Saúde Bucal,NULL,1,Ambiente e Saúde,0,NULL,2,Educação Profissional Técnica de Nível Médio,11,Saúde,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,2455,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3237,2457,Costureiro,NULL,7,Produção Cultural e Design,0,NULL,1,"Formação Inicial e Continuada ",22,Moda,2,Qualificação profissional,212,1,0,1,NULL,0,NULL,1,NULL,0,"    ",0,,-1,0,2457,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3239,2459,Auxiliar de Cozinha,NULL,4,"Turismo,Hospitalidade e Lazer",0,NULL,1,"Formação Inicial e Continuada ",68,Gastronomia,2,Qualificação profissional,240,1,0,1,NULL,0,NULL,1,NULL,0,"    ",0,,-1,0,2459,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3292,2470,Vendedor,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",2,Comércio,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,2470,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3294,2472,Técnico em Segurança do Trabalho,NULL,11,Segurança,0,NULL,2,Educação Profissional Técnica de Nível Médio,24,Segurança,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,2472,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3303,2480,Aprendizagem Profissional de Qualificação em Serviços Administrativos,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,1,Aprendizagem Profissional de Qualificação,960,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,2480,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3316,2493,Auxiliar em Saúde Bucal,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",11,Saúde,2,Qualificação profissional,264,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,2493,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3355,2503,Técnico em Enfermagem,NULL,1,Ambiente e Saúde,0,NULL,2,Educação Profissional Técnica de Nível Médio,11,Saúde,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,2503,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3368,2516,Cuidador Infantil,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",11,Saúde,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,2516,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3370,2518,Cozinheiro,NULL,4,"Turismo,Hospitalidade e Lazer",0,NULL,1,"Formação Inicial e Continuada ",68,Gastronomia,2,Qualificação profissional,500,1,0,1,NULL,0,NULL,1,NULL,0,"    ",0,,-1,0,2518,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3610,2633,Técnico em Informática,NULL,5,Informação e Comunicação,0,NULL,2,Educação Profissional Técnica de Nível Médio,14,Tecnologia da Informação,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,2633,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
3768,282.5,CorelDRAW,NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,282,5,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
4279,377.31,Técnicas de Costura e Acabamento,NULL,7,Produção Cultural e Design,0,NULL,1,"Formação Inicial e Continuada ",22,Moda,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,377,31,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
4693,391.124,Excel Básico,NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,4,Programas Instrumentais,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,391,124,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
4762,391.19,Excel Avançado,NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,4,Programas Instrumentais,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,391,19,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
4771,391.34,"Informática Básica - Windows, Word, Excel, power Point e Internet",NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,4,Programas Instrumentais,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,391,34,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
4824,401.1,Design de Sobrancelha,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,401,1,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
4833,401.2,Design de Sobrancelha com Henna,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,401,2,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
4917,409.7,Primeiros Socorros,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",11,Saúde,4,Programas Instrumentais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,409,7,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
5141,448.3,Biscoitos Finos e Artesanais,NULL,10,Produção Alimentícia,0,NULL,1,"Formação Inicial e Continuada ",29,Produção de alimentos,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,448,3,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
5228,487.2,Confecção Moda Praia,NULL,7,Produção Cultural e Design,0,NULL,1,"Formação Inicial e Continuada ",22,Moda,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,487,2,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
5239,491.1,Confecção de Peças Íntimas,NULL,7,Produção Cultural e Design,0,NULL,1,"Formação Inicial e Continuada ",22,Moda,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,491,1,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
5265,496.2,Básico de Corte e Costura,NULL,7,Produção Cultural e Design,0,NULL,1,"Formação Inicial e Continuada ",22,Moda,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,496,2,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
5322,499.7,Marketing Pessoal e Etiqueta Empresarial,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,6,Programas Socioculturais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,499,7,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
5394,55.52,"Design de Mechas: Peroladas, Platinadas e Iluminação",NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,55,52,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
5726,60.14,Unhas de Fibra,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,60,14,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
5755,60.7,Unhas de Gel,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,60,7,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
5897,62.58,Drenagem Linfática Corporal no Pós-Operatório Imediato,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",11,Saúde,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,62,58,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
6242,66.88,Faturamento de Serviços de Saúde,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",11,Saúde,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,66,88,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
6783,762.10,Inglês instrumental,NULL,2,Desenvolvimento Educacional e Social,0,NULL,1,"Formação Inicial e Continuada ",23,Idiomas,4,Programas Instrumentais,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,762,10,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
7822,844.2,Qualidade no Atendimento ao Cliente,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,844,2,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
7831,847.16,Básico de Escova de Cabelo,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,847,16,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
7877,847.58,Design de Cílios,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,5,Programas Socioprofissionais,15,0,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,847,58,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
8303,965.4,Técnicas de recepção e secretariado,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,965,4,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
8404,969.4,Técnicas de Vendas,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",2,Comércio,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,969,4,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
8435,969.87,Gestão Estratégica de Vendas,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",2,Comércio,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,969,87,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
8695,985.3,AutoCAD 2D,NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,985,3,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
8840,986.85,"Html, Css e Javascript",NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,986,85,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
8841,986.86,Back End,NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,986,86,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
9050,989.21,Edição de Vídeo Para Redes Sociais,NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,3,Aperfeiçoamento,15,1,0,0,NULL,0,NULL,1,NULL,0,"DN  ",0,,"  ",0,989,21,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
281,1341.2,Introdução à Informática com Digitação,NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,4,Programas Instrumentais,15,1,0,0,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1341,2,0,2021-10-08 02:35:35.103,1,09/2021,"PB  ",1
331,1380,Aprendizagem Profissional de Qualificação em Serviços Administrativos em Instituições de Saúde,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",11,Saúde,1,Aprendizagem Profissional de Qualificação,800,1,0,0,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1380,0,0,2021-10-08 02:35:35.103,1,09/2021,"PB  ",1
410,1512,Assistente Administrativo,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1512,0,0,2021-10-08 02:35:35.103,1,09/2021,"PB  ",1
412,1514,Assistente de Recursos Humanos,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1514,0,0,2021-10-08 02:35:35.103,1,09/2021,"PB  ",1
416,1518,Operador de Computador,NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,2,Qualificação profissional,196,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1518,0,0,2021-10-08 02:35:35.103,1,09/2021,"PB  ",1
431,1551,Cabeleireiro,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,2,Qualificação profissional,400,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1551,0,0,2021-10-08 02:35:35.103,1,09/2021,"PB  ",1
434,1556,Manicure e Pedicure,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1556,0,0,2021-10-08 02:35:35.103,1,09/2021,"PB  ",1
